Image Path,Folder,Subfolder,Timestamp,IdTag,Weight Before [g],Weight After [g],Water Amount [ml],Water Amount [g]
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_0\0_0_0.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_0,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_0\0_0_0_segmented.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_0,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_0\0_0_0_labeled_leaves.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_0,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_0\0_0_0_leaf_edges.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_0,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_144\0_0_0.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_144,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_144\0_0_0_segmented.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_144,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_144\0_0_0_labeled_leaves.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_144,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_144\0_0_0_leaf_edges.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_144,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_216\0_0_0.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_216,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_216\0_0_0_segmented.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_216,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_216\0_0_0_labeled_leaves.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_216,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_216\0_0_0_leaf_edges.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_216,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_72\0_0_0.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_72,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_72\0_0_0_segmented.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_72,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
../Data\9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100\Fluo_SV_72\0_0_0_labeled_leaves.png,9-4-24-InHouse-Corn-Soy-Sorg_94-021-WilliamsSoy-HTN-WW_2024-09-08_07-32-41.715_7909100,Fluo_SV_72,09/08/2024 07:32:41,94-021-WilliamsSoy-HTN-WW,6311,6489,189,0
